,Timestamp,Light Power Meter: Irradiance (mW/cm2),Cl2 LabJack: Cl2 Node A (mV),Cl2 LabJack: Cl2 Node B (mV),Reactor TC: Temperature,UV Light: Status Selection,UV Light: Actual Status,FTIR: CH4 (ppm),FTIR: CO2 (ppm),FTIR: H2O (%),FTIR: CO (ppm),FTIR: HCL (ppm),FTIR: CH2O (ppm),FTIR: CH2O2 (ppm),FTIR: CH3Cl (ppm),FTIR: NO (ppm),FTIR: NH3 (ppm),FTIR: Toluene (ppm),Picarro: CH4 (ppm),Picarro: CO2 (ppm),Picarro: H2O (vol %),Methane MFC: Gas Selection,Methane MFC: Mode Selection,Methane MFC: Setpoint Entry,Methane MFC: Device Gas,Methane MFC: Device Mode,Methane MFC: Device Setpoint,Methane MFC: Actual Flow,LF N2 MFC: Gas Selection,LF N2 MFC: Mode Selection,LF N2 MFC: Setpoint Entry,LF N2 MFC: Device Gas,LF N2 MFC: Device Mode,LF N2 MFC: Device Setpoint,LF N2 MFC: Actual Flow,O2 MFC: Gas Selection,O2 MFC: Mode Selection,O2 MFC: Setpoint Entry,O2 MFC: Device Gas,O2 MFC: Device Mode,O2 MFC: Device Setpoint,O2 MFC: Actual Flow,HF N2 MFC: Scale Factor Entry,HF N2 MFC: Mode Selection,HF N2 MFC: Setpoint Entry,HF N2 MFC: Device Scale Factor,HF N2 MFC: Device Mode,HF N2 MFC: Device Setpoint,HF N2 MFC: Actual Flow,Humid N2 MFC: Gas Selection,Humid N2 MFC: Mode Selection,Humid N2 MFC: Setpoint Entry,Humid N2 MFC: Device Gas,Humid N2 MFC: Device Mode,Humid N2 MFC: Device Setpoint,Humid N2 MFC: Actual Flow,MFM: Gas Selection,MFM: Device Gas,MFM: Actual Flow,Cl2 MFC: Mode Selection,Cl2 MFC: Setpoint Entry,Cl2 MFC: Device Mode,Cl2 MFC: Device Setpoint,Cl2 MFC: Actual Flow,Cl2 MFC: Zero Offset (sccm),Picarro Bypass Valve: Position Selection,Picarro Bypass Valve: Actual Position,Tank Selector Valve: Position Selection,Tank Selector Valve: Actual Position,Bubbler Bypass Valve: Position Selection,Bubbler Bypass Valve: Actual Position,Humidity Probe: Rel. Humidity (%),Minutes,Hours,Cl2 LabJack: Cl2 reading minus zero (mV),Selected: CH4 (ppm),bypass_start,closest_start_time,experiment_name
660,2025-01-16 21:45:19,0.0,71.2,43.5,No Reading,On,1,14.186756588556284,6.1066311931711885,0.037,12.714438032351108,2.307,0.023883025179295303,1.137,190.978,6.868,1.005,3.265,13.3459,7.2869,0.9411,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,82.2,Air,Air,216.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.12,60.03333333333333,1.0005555555555554,27.1,14.186756588556284,60,37.37,01-16-25 Base Case
661,2025-01-16 21:45:29,0.0,71.2,43.5,No Reading,On,1,14.191828306672903,6.15279115575304,0.037,12.693451908247583,2.307,0.032151656298721576,1.137,190.978,6.868,1.005,3.265,13.3522,7.015,0.9408,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.3,N2,Setpoint,80,N2,Setpoint,80.0,74.7,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.12,60.2,1.0033333333333334,27.1,14.191828306672903,60,37.37,01-16-25 Base Case
662,2025-01-16 21:45:39,0.0,71.2,43.4,No Reading,On,1,14.12748944086692,6.204574763077883,0.039,12.691201106494114,2.715,0.012610619240664256,1.234,190.98,7.382,1.005,3.265,13.3523,7.6349,0.9437,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,65.9,N2,Setpoint,80,N2,Setpoint,80.0,79.6,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.12,60.366666666666674,1.0061111111111112,27.1,14.12748944086692,60,37.37,01-16-25 Base Case
663,2025-01-16 21:45:49,0.0,71.3,43.5,No Reading,On,1,14.094967318794298,6.22796775699042,0.06,12.6891912618584,2.161,0.004614677233429398,1.166,190.991,7.368,1.005,3.265,13.3541,7.197,0.9401,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,79.8,Air,Air,216.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.13,60.53333333333333,1.008888888888889,27.199999999999996,14.094967318794298,60,37.37,01-16-25 Base Case
664,2025-01-16 21:45:59,0.0,71.3,43.4,No Reading,On,1,14.087506372874747,6.18457804086726,-0.063,12.679331072453596,1.867,0.005415402511308676,1.139,191.044,7.857,1.005,3.265,13.3493,7.1638,0.9383,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,76.4,Air,Air,216.7,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.14,60.7,1.0116666666666667,27.199999999999996,14.087506372874747,60,37.37,01-16-25 Base Case
665,2025-01-16 21:46:09,0.0,71.2,43.3,No Reading,On,1,14.085616052520846,6.043608074495441,0.085,12.656969969375828,2.409,0.005177283487882822,1.143,191.054,7.507,1.005,3.265,13.3565,8.3807,0.9389,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.4,N2,Setpoint,80,N2,Setpoint,80.0,82.9,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.15,60.866666666666674,1.0144444444444445,27.1,14.085616052520846,60,37.37,01-16-25 Base Case
666,2025-01-16 21:46:19,0.0,71.4,43.4,No Reading,On,1,14.168642624639602,5.90380600171433,0.085,12.651763080885218,2.409,-0.0034419014260110292,1.143,191.054,7.507,1.005,3.265,13.3535,8.1289,0.9377,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.1,N2,Setpoint,80,N2,Setpoint,80.0,79.9,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.15,61.03333333333333,1.0172222222222222,27.300000000000004,14.168642624639602,60,37.37,01-16-25 Base Case
667,2025-01-16 21:46:29,0.0,71.2,43.5,No Reading,On,1,14.16643933863176,5.925484612124046,0.07,12.626110496337853,2.285,-0.009500109864422623,1.127,191.054,7.067,1.005,3.265,13.3526,7.293,0.9404,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,65.8,N2,Setpoint,80,N2,Setpoint,80.0,77.3,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.16,61.2,1.02,27.1,14.16643933863176,60,37.37,01-16-25 Base Case
668,2025-01-16 21:46:39,0.0,71.3,43.5,No Reading,On,1,14.138734414736842,6.017140941754386,-0.017,12.613716280701755,2.079,-0.011100674385964904,1.089,191.054,7.422,1.005,3.265,13.3608,15.1875,0.9392,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.2,N2,Setpoint,80,N2,Setpoint,80.0,80.0,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,6.0,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.16,61.366666666666674,1.022777777777778,27.199999999999996,14.138734414736842,60,37.37,01-16-25 Base Case
669,2025-01-16 21:46:49,0.0,71.4,43.5,No Reading,On,1,14.126172598160705,6.073954314394825,-0.032,12.61817595596602,2.49,-0.007663236068895629,1.112,191.054,7.593,1.005,3.265,13.3565,7.1337,0.9384,N2,Setpoint,6.0,N2,Setpoint,6.0,6.0,N2,Closed,0.0,N2,Closed,0.0,0.0,O2,Setpoint,40,O2,Setpoint,40.0,40.0,0.37,Setpoint,68,0.4,Setpoint,68.0,66.0,N2,Setpoint,80,N2,Setpoint,80.0,77.2,Air,Air,216.8,Setpoint,6.0,Setpoint,6.0,5.9,0,Picarro,Picarro,1000ppm or 5%,1000ppm or 5%,No Bubbler,No Bubbler,32.15,61.53333333333333,1.0255555555555556,27.300000000000004,14.126172598160705,60,37.37,01-16-25 Base Case
